SYMBOL,"SUM OPTSTK,CE1","SUM OPTSTK,PE1","SUM FUTSTK,XX1","SUM FUTSTK,XX2","SUM FUTSTK,XX3","SUM FUTSTK,XX4","SUM FUTSTK,XX5","SUM FUTSTK,XX6","SUM FUTSTK,XX7","SUM FUTSTK,XX8","SUM FUTSTK,XX9","SUM FUTSTK,XX10","SUM AVG,VAL_INLAKH1","SUM AVG,VAL_INLAKH2","SUM AVG,VAL_INLAKH3","SUM AVG,VAL_INLAKH4","SUM AVG,VAL_INLAKH5","SUM AVG,VAL_INLAKH6","SUM AVG,VAL_INLAKH7","SUM AVG,VAL_INLAKH8","SUM AVG,VAL_INLAKH9","SUM AVG,VAL_INLAKH10","SUM OPTIDX,CE1","SUM OPTIDX,PE1","SUM FUTIDX,XX1","SUM %OICOPTSTK,CE1","SUM %OICOPTSTK,PE1","SUM %OICFUTSTK,XX1","SUM %OICOPTIDX,CE1","SUM %OICOPTIDX,PE1","SUM %OICFUTIDX,XX1","SUM PCROPTSTK1"
DRREDDY,1114875,929750,1992500,1913500,1871750,1612625,1464000,1259500,1002625,1003250,757375,445375,-55184.659999999996,-73227.16,135358.15,37401.369999999995,-42796.83,40007.65,-2130.14,24528.530000000002,-20187.82,10757.050000000001,0,0,0,6.2571,5.7614,0.2487,0.0000,0.0000,0.0000,0.8339
EICHERMOT,1084125,657300,3141950,2931075,2851975,2742250,2774450,2182250,1346100,1337000,863800,405650,57172.590000000004,48682.97,-38637.75,37730.729999999996,-62699.94,67739.52,-3170.96,42776.259999999995,-30658,7836.53,0,0,0,12.7103,24.9399,1.2864,0.0000,0.0000,0.0000,0.6063
ESCORTS,606375,275550,1267750,1131350,1116500,1031525,1035100,666050,370150,362450,195250,114400,-13412.16,30531.95,-14917.489999999998,-8754.369999999999,20930.719999999998,15236.210000000001,-1157.18,-8292.87,-3903.94,2692.14,0,0,0,0.7117,2.7167,0.6592,0.0000,0.0000,0.0000,0.4544
EXIDEIND,5486400,2253600,25671600,25938000,25534800,25293600,25466400,21063600,12985200,12319200,7329600,4431600,-3775.3100000000004,4604.5199999999995,-5013.41,-6377.57,-19391.56,29006.89,-2353.95,17361.17,7534.17,2510.27,0,0,0,6.9728,3.6873,0.1170,0.0000,0.0000,0.0000,0.4108
FEDERALBNK,29980000,19190000,80275000,81015000,81490000,81625000,82930000,73210000,48540000,46380000,20810000,10360000,-25018.119999999995,-40474.77,-35071.56999999999,36162.44,76064.04000000001,79774.09999999999,-8200.37,68751.11,-23754.600000000002,12204.07,0,0,0,3.3475,3.4534,0.8660,0.0000,0.0000,0.0000,0.6401
FSL,8366800,4222400,15771600,14461200,14970800,14939600,13878800,11190400,7716800,7545200,4706000,4118400,27055.410000000003,-7771.219999999999,-11551.2,5658.84,-7760.66,11435.609999999999,-619.07,-7941.259999999999,2714.18,1784.36,0,0,0,36.1876,44.5249,0.7290,0.0000,0.0000,0.0000,0.5047
GAIL,27175500,12956400,51761550,50453100,48833550,46747350,47159100,43325250,33150450,32839350,18620250,8399700,-7822.099999999999,-9120.87,-15647.79,-18540.42,20274.399999999998,18031.25,-1023.1500000000001,-22307.670000000002,18521.94,4685.18,0,0,0,1.9460,2.9040,0.5642,0.0000,0.0000,0.0000,0.4768
GLENMARK,2887650,1527200,7935900,8260200,7871750,7731450,7717650,6305450,3485650,3463800,1116650,477250,-12483.46,20508.43,6030.09,-7007.32,18317.460000000003,16075.8,-335.59,-11087.99,3687.8599999999997,823.9000000000001,0,0,0,21.8258,12.0904,-0.0004,0.0000,0.0000,0.0000,0.5289
GMRINFRA,51705000,21555000,111420000,111262500,112545000,111172500,110430000,85950000,53572500,52470000,25762500,15885000,3615.7,-4670.31,-5907.37,-10679.5,59543,28424.51,-1343.01,-15796.27,6032.63,3306.7,0,0,0,-0.0348,0.5381,0.2368,0.0000,0.0000,0.0000,0.4169
GNFC,2930200,1281800,5543200,5376800,5398900,5166200,4980300,3981900,2486900,2433600,1050400,763100,12917.410000000002,-17408.73,-17733.25,13356.25,-21521.23,20038.71,-969.75,-17074.4,-6967.97,4555.2,0,0,0,0.6598,0.2578,0.3428,0.0000,0.0000,0.0000,0.4374
GODREJCP,665000,445000,6903000,6847000,6590000,6320000,6329000,5568000,3723000,3729000,2163000,864000,5051.12,-11813.01,7578.240000000001,-6141.110000000001,20528.489999999998,24429.2,-808.64,20851.31,14698.359999999999,5925.09,0,0,0,0.5805,2.0216,0.6747,0.0000,0.0000,0.0000,0.6692
GODREJPROP,1023100,490100,4638025,4649550,4558050,4535575,4485975,3513575,2203175,2146625,1339650,634725,13029.78,-11344.81,9057.38,-9329.359999999999,34834,24556.43,-1489.6399999999999,15938.890000000001,12856.42,7126.620000000001,0,0,0,1.4913,1.6260,0.5896,0.0000,0.0000,0.0000,0.4790
GRANULES,2870000,1308000,7938000,7810000,7708000,7400000,7454000,5928000,3008000,2888000,1684000,1062000,9300.65,-6462.820000000001,-9965.37,-10057.37,25917.15,20690.870000000003,-615.3,-7878.86,7809.27,3436.1800000000003,0,0,0,3.3436,0.7020,-0.0023,0.0000,0.0000,0.0000,0.4557
GRASIM,817950,830775,7072750,7129275,7269400,7261325,7232350,6655700,5436850,5445400,3696925,2898925,-16636.670000000002,-22737.940000000002,-20969.52,23399.4,-35864.340000000004,36168.810000000005,-2342.79,37319.38,-17642.52,48116.86,0,0,0,2.8731,15.6434,-0.0080,0.0000,0.0000,0.0000,1.0157
GSPL,1115000,575000,5480000,5490000,5570000,5500000,5110000,3750000,2112500,1965000,915000,512500,2856.88,-4227.8,-4110.43,4191.67,7583.67,6598.89,-593.55,3538.69,1892.48,551.79,0,0,0,-1.0455,-1.2899,-0.0018,0.0000,0.0000,0.0000,0.5157
GUJGASLTD,1272500,767500,4993750,5023750,5107500,5062500,5022500,4710000,4033750,3963750,3681250,3447500,8436.9,-6394.61,19147.539999999997,-7818.99,-12150.28,17381.09,-2218.82,15432.66,-9767.49,8709.94,0,0,0,8.6283,1.9606,0.4077,0.0000,0.0000,0.0000,0.6031
HAL,1209350,752400,3947700,3851725,3780950,3813425,3803800,3071825,2099500,2061975,1233575,550525,36429.65,26932.37,-29573.22,28984.03,-62217.66,59467.399999999994,-2908.75,37278.02,-26708.37,18344.8,0,0,0,18.0169,6.1728,2.8007,0.0000,0.0000,0.0000,0.6222
HAVELLS,919500,482500,4255000,4152500,4178500,4279000,4205000,4022500,3104500,3062000,1600000,628000,9819.820000000002,-9607.09,13391.08,8318.55,-13770.13,23180.98,-1872.16,37427.29,31007.329999999998,8642.49,0,0,0,2.4709,0.5033,0.0665,0.0000,0.0000,0.0000,0.5247
HCLTECH,3845800,2417100,14994000,14827400,14892500,14697900,15016400,13447700,10601500,10523100,6112400,2181200,45590.68,31065.76,25895.9,-25956.14,-68293.98000000001,52307.53,-4694.7,-69811.01000000001,51651.149999999994,9691.31,0,0,0,4.1497,4.2143,0.5668,0.0000,0.0000,0.0000,0.6285
HDFC,2994900,2236500,18087300,18315600,18830100,18586500,18744600,15085800,11868600,11983500,7086900,4003500,-83755.39,-111213.82,84386.73000000001,63526.060000000005,-166396.78,-112106.81,15894.039999999999,147594.65,-90775.37999999999,53925.46,0,0,0,15.9537,23.9781,0.0705,0.0000,0.0000,0.0000,0.7468
HDFCAMC,413400,213300,1790700,1785000,1791900,1760700,1715700,1659000,1197300,1190400,1032300,666900,7128.69,-5086.04,-5295.500000000001,-6721.22,17517.39,-21614.07,720.95,-16979.12,24674.42,8273.44,0,0,0,17.3014,0.5459,0.3820,0.0000,0.0000,0.0000,0.5160
HDFCBANK,10835000,9325250,59253150,59980800,61922850,62689000,62358450,55893750,43410950,43401600,29311700,19184550,-137558.74,-214151.49,176445.06,158542.64,-256779.15,263772.48,-31671.59,292746.86000000004,-190200.16999999998,177872.81999999998,0,0,0,6.7992,2.7467,0.1521,0.0000,0.0000,0.0000,0.8607
HDFCLIFE,4463800,3286800,21213500,21533600,22139700,22331100,22000000,16855300,12031800,11898700,7342500,3050300,-14434.49,20352.19,14175.05,-12348.17,-54794.82,38914.34,-2600.66,37869.85,29052.21,9959.85,0,0,0,2.5068,4.6352,0.5274,0.0000,0.0000,0.0000,0.7363
HEROMOTOCO,1335000,816600,2548500,2495400,2559600,2563200,2581500,2335200,1813200,1818600,1130400,546900,-29193.329999999998,21392.97,-27508.88,-33650.66,35846.14,38443.159999999996,-1649.6599999999999,-31931.91,34175.24,8468.59,0,0,0,1.5937,2.8327,0.6220,0.0000,0.0000,0.0000,0.6117
