SYMBOL,EXPIRY_DT,"SUM CE,OPEN_INT","SUM PE,OPEN_INT","%D_CE,OPEN_INT","%D_PE,OPEN_INT","%D_XX,OPEN_INT",PCR,"XX,OPEN_INT","XX,CLOSE","D_XX,CLOSE","XX,VAL_INLAKH",DELIV_PER,"SUM CE,CONTRACTS","SUM PE,CONTRACTS",PCV,"%D_SUM CE,CONTRACTS","%D_SUM PE,CONTRACTS",DAY
HDFCLIFE,24-Nov-2022,237600,188100,0.5319,0.1176,0.1944,0.7917,1027400,526.9,0.049999999999954525,2558.31," 48.24",125,55,0.4400,0.4706,0.2791,Day1
HDFCLIFE,29-Dec-2022,3300,5500,2.0000,0.0000,0.0874,1.6667,123200,529.75,-0.10000000000002274,203.66," 48.24",2,0,0.0000,0.0000,0.0000,Day1
HEROMOTOCO,27-Oct-2022,3818100,1160100,-0.0571,0.0052,-0.0380,0.3038,2635800,2554.3,19.15000000000009,18853.9," 33.70",10387,3568,0.3435,-0.0636,0.0792,Day1
HEROMOTOCO,24-Nov-2022,45300,49200,0.1890,0.0250,-0.0208,1.0861,338700,2557,23.550000000000182,2971.69," 33.70",64,87,1.3594,-0.2809,0.1447,Day1
HEROMOTOCO,29-Dec-2022,0,0,0.0000,0.0000,0.0222,0.0000,13800,2565.5,13.199999999999818,30.79," 33.70",0,0,0.0000,0.0000,0.0000,Day1
HINDALCO,27-Oct-2022,21935375,8497875,0.0908,-0.0821,0.0185,0.3874,29279775,389.5,-8.899999999999977,36881.87," 43.00",21919,10712,0.4887,0.1626,0.3059,Day1
HINDALCO,24-Nov-2022,553625,255850,0.6401,0.3371,0.5010,0.4621,1626475,390.75,-8.949999999999989,5322.99," 43.00",425,153,0.3600,0.5179,0.3909,Day1
HINDALCO,29-Dec-2022,7525,0,0.0000,0.0000,0.1333,0.0000,127925,392.65,-8.700000000000045,368.48," 43.00",1,0,0.0000,0.0000,0.0000,Day1
HINDCOPPER,27-Oct-2022,7176700,3070200,-0.0012,0.0705,0.0060,0.4278,17311800,107.15,-1.3499999999999943,4051.62," 24.85",858,314,0.3660,0.3200,0.9873,Day1
HINDCOPPER,24-Nov-2022,43000,133300,0.0000,0.0333,0.3593,3.1000,976100,107.6,-1.4000000000000057,775.66," 24.85",0,1,0.0000,-1.0000,-0.8571,Day1
HINDCOPPER,29-Dec-2022,8600,0,0.0000,0.0000,0.5455,0.0000,73100,107.45,-3.549999999999997,46.17," 24.85",0,0,0.0000,-1.0000,0.0000,Day1
HINDPETRO,27-Oct-2022,9622800,4306500,0.0376,0.1030,-0.0201,0.4475,20133900,202.7,-3,9581.36," 50.17",2759,2348,0.8510,0.1877,2.0935,Day1
HINDPETRO,24-Nov-2022,159300,175500,0.3721,0.1818,0.6547,1.1017,1487700,203.4,-3.1500000000000057,2010.96," 50.17",46,36,0.7826,0.9167,0.6364,Day1
HINDPETRO,29-Dec-2022,2700,0,0.0000,0.0000,0.0833,0.0000,105300,203.15,-3.4000000000000057,71.34," 50.17",0,0,0.0000,0.0000,0.0000,Day1
HINDUNILVR,27-Oct-2022,2474100,1174500,-0.0298,0.0103,-0.0276,0.4747,6246000,2593.05,10.850000000000364,26686.29," 56.95",9846,4543,0.4614,-0.2163,-0.1792,Day1
HINDUNILVR,24-Nov-2022,47100,29700,0.6020,0.2073,0.0097,0.6306,1881000,2588.25,16.050000000000182,2386.54," 56.95",137,58,0.4234,0.5747,3.1429,Day1
HINDUNILVR,29-Dec-2022,0,600,0.0000,0.0000,0.0135,0.0000,22500,2598,-3,109.28," 56.95",0,0,0.0000,0.0000,0.0000,Day1
HONAUT,27-Oct-2022,1785,300,0.0625,0.0000,-0.0133,0.1681,18960,38456.05,132.65000000000146,2729.95," 31.45",35,0,0.0000,2.1818,-1.0000,Day1
HONAUT,24-Nov-2022,15,0,0.0000,0.0000,0.4194,0.0000,660,38571.55,85.15000000000146,254.38," 31.45",0,0,0.0000,0.0000,0.0000,Day1
HONAUT,29-Dec-2022,0,0,0.0000,0.0000,0.0000,0.0000,15,39600,0,0," 31.45",0,0,0.0000,0.0000,0.0000,Day1
IBULHSGFIN,27-Oct-2022,14888000,8968000,-0.0377,-0.0256,-0.0144,0.6024,38708000,125.85,1.0999999999999943,713.7," 19.16",149,59,0.3960,-0.4225,-0.1571,Day1
