SYMBOL,STRIKE_PR,"OPTSTK,CE1","OPTSTK,PE1","FUTSTK,XX1","FUTSTK,XX2","FUTSTK,XX3","FUTSTK,XX4","FUTSTK,XX5","FUTSTK,XX6","FUTSTK,XX7","FUTSTK,XX8","FUTSTK,XX9","FUTSTK,XX10","AVG,VAL_INLAKH1","AVG,VAL_INLAKH2","AVG,VAL_INLAKH3","AVG,VAL_INLAKH4","AVG,VAL_INLAKH5","AVG,VAL_INLAKH6","AVG,VAL_INLAKH7","AVG,VAL_INLAKH8","AVG,VAL_INLAKH9","AVG,VAL_INLAKH10","OPTIDX,CE1","OPTIDX,PE1","FUTIDX,XX1","%OICOPTSTK,CE1","%OICOPTSTK,PE1","%OICFUTSTK,XX1","%OICOPTIDX,CE1","%OICOPTIDX,PE1","%OICFUTIDX,XX1",PCROPTSTK1
GLENMARK,0,0,0,7731450,7717650,6305450,3485650,3463800,1116650,477250,387550,315100,297850,-7007.32,18317.460000000003,16075.8,-335.59,-11087.99,3687.8599999999997,-823.9000000000001,-714.35,395.23,423.58000000000004,0,0,0,0.0000,0.0000,0.0235,0.0000,0.0000,0.0000,NULL
GMRINFRA,0,0,0,111172500,110430000,85950000,53572500,52470000,25762500,15885000,11790000,9337500,8122500,-10679.5,59543,28424.51,-1343.01,-15796.27,6032.63,3306.7,-2308,2086.4,750.77,0,0,0,0.0000,0.0000,0.1296,0.0000,0.0000,0.0000,NULL
GNFC,0,0,0,5166200,4980300,3981900,2486900,2433600,1050400,763100,664300,521300,404300,13356.25,-21521.23,20038.71,-969.75,-17074.4,-6967.97,4460.36,-3603.79,-4091.22,6533.93,0,0,0,0.0000,0.0000,0.2132,0.0000,0.0000,0.0000,NULL
GODREJCP,0,0,0,6320000,6329000,5568000,3723000,3729000,2163000,864000,300000,282000,256000,-6141.110000000001,20528.489999999998,24429.2,-808.64,20851.31,14698.359999999999,5925.09,-1057.8600000000001,-796.9399999999999,726.34,0,0,0,0.0000,0.0000,0.1557,0.0000,0.0000,0.0000,NULL
GODREJPROP,0,0,0,4535575,4485975,3513575,2203175,2146625,1339650,634725,369200,307125,243425,-9329.359999999999,34834,24556.43,-1489.6399999999999,15938.890000000001,12856.42,7126.620000000001,-2911.29,1909.64,1543.01,0,0,0,0.0000,0.0000,0.1142,0.0000,0.0000,0.0000,NULL
GRANULES,0,0,0,7400000,7454000,5928000,3008000,2888000,1684000,1062000,666000,454000,446000,-10057.37,25917.15,20690.870000000003,-615.3,-7878.86,7809.27,-3436.1800000000003,2170.39,799.7,404.19,0,0,0,0.0000,0.0000,0.3525,0.0000,0.0000,0.0000,NULL
GRASIM,0,0,0,7261325,7232350,6655700,5436850,5445400,3696925,2898925,314925,244150,130625,23399.4,-35864.340000000004,36168.810000000005,-2342.79,37319.38,-17642.52,48116.86,-2336.33,2943.46,794.04,0,0,0,0.0000,0.0000,0.5306,0.0000,0.0000,0.0000,NULL
GSPL,0,0,0,5500000,5110000,3750000,2112500,1965000,915000,512500,472500,290000,177500,4191.67,7583.67,6598.89,-593.55,3538.69,1892.48,-551.79,-880.98,576.96,195.87,0,0,0,0.0000,0.0000,0.0763,0.0000,0.0000,0.0000,NULL
GUJGASLTD,0,0,0,5062500,5022500,4710000,4033750,3963750,3681250,3447500,2140000,1057500,892500,-7818.99,-12150.28,17381.09,-2218.82,15432.66,-9767.49,8709.94,7365.33,-1517.94,1928.52,0,0,0,0.0000,0.0000,0.0389,0.0000,0.0000,0.0000,NULL
HAL,0,0,0,3813425,3803800,3071825,2099500,2061975,1233575,550525,332500,287375,252700,28984.03,-62217.66,59467.399999999994,-2908.75,37278.02,-26708.37,-18344.8,10462,-4199.34,2434.89,0,0,0,0.0000,0.0000,0.2305,0.0000,0.0000,0.0000,NULL
